date,province,district_or_city,scenario,rainfall_mm
1989-11,Sindh,Karachi,historical,47.1
1989-12,Sindh,Karachi,historical,45.4
1990-01,Sindh,Karachi,historical,74.6
1990-02,Sindh,Karachi,historical,80.6
1990-03,Sindh,Karachi,historical,107.8
1990-04,Sindh,Karachi,historical,95.7
1990-05,Sindh,Karachi,historical,100.7
1990-06,Sindh,Karachi,historical,70.5
1990-07,Sindh,Karachi,historical,66.8
1990-08,Sindh,Karachi,historical,57.4
1990-09,Sindh,Karachi,historical,59.0
1990-10,Sindh,Karachi,historical,28.9
1990-11,Sindh,Karachi,historical,53.1
1990-12,Sindh,Karachi,historical,59.5
1991-01,Sindh,Karachi,historical,79.7
1991-02,Sindh,Karachi,historical,86.1
1991-03,Sindh,Karachi,historical,90.4
1991-04,Sindh,Karachi,historical,89.4
1991-05,Sindh,Karachi,historical,80.3
1991-06,Sindh,Karachi,historical,82.1
1991-07,Sindh,Karachi,historical,66.2
1991-08,Sindh,Karachi,historical,70.6
1991-09,Sindh,Karachi,historical,40.7
1991-10,Sindh,Karachi,historical,44.5
1991-11,Sindh,Karachi,historical,33.2
1991-12,Sindh,Karachi,historical,51.8
1992-01,Sindh,Karachi,historical,69.8
1992-02,Sindh,Karachi,historical,87.0
1992-03,Sindh,Karachi,historical,101.3
1992-04,Sindh,Karachi,historical,93.1
1992-05,Sindh,Karachi,historical,81.3
1992-06,Sindh,Karachi,historical,84.2
1992-07,Sindh,Karachi,historical,71.8
1992-08,Sindh,Karachi,historical,58.7
1992-09,Sindh,Karachi,historical,40.0
1992-10,Sindh,Karachi,historical,50.8
1992-11,Sindh,Karachi,historical,46.1
1992-12,Sindh,Karachi,historical,60.3
1993-01,Sindh,Karachi,historical,77.6
1993-02,Sindh,Karachi,historical,85.3
1993-03,Sindh,Karachi,historical,92.3
1993-04,Sindh,Karachi,historical,110.2
1993-05,Sindh,Karachi,historical,91.9
1993-06,Sindh,Karachi,historical,78.3
1993-07,Sindh,Karachi,historical,68.6
1993-08,Sindh,Karachi,historical,66.4
1993-09,Sindh,Karachi,historical,46.4
1993-10,Sindh,Karachi,historical,46.0
1993-11,Sindh,Karachi,historical,54.7
1993-12,Sindh,Karachi,historical,50.9
1994-01,Sindh,Karachi,historical,54.3
1994-02,Sindh,Karachi,historical,82.9
1994-03,Sindh,Karachi,historical,91.8
1994-04,Sindh,Karachi,historical,88.7
1994-05,Sindh,Karachi,historical,96.8
1994-06,Sindh,Karachi,historical,85.3
1994-07,Sindh,Karachi,historical,60.0
1994-08,Sindh,Karachi,historical,58.9
1994-09,Sindh,Karachi,historical,43.9
1994-10,Sindh,Karachi,historical,30.4
1994-11,Sindh,Karachi,historical,49.0
1994-12,Sindh,Karachi,historical,54.5
1995-01,Sindh,Karachi,historical,61.9
1995-02,Sindh,Karachi,historical,84.7
1995-03,Sindh,Karachi,historical,93.8
1995-04,Sindh,Karachi,historical,89.0
1995-05,Sindh,Karachi,historical,93.1
1995-06,Sindh,Karachi,historical,88.5
1995-07,Sindh,Karachi,historical,62.2
1995-08,Sindh,Karachi,historical,57.8
1995-09,Sindh,Karachi,historical,45.4
1995-10,Sindh,Karachi,historical,59.6
1995-11,Sindh,Karachi,historical,30.9
1995-12,Sindh,Karachi,historical,60.3
1996-01,Sindh,Karachi,historical,65.3
1996-02,Sindh,Karachi,historical,79.8
1996-03,Sindh,Karachi,historical,104.8
1996-04,Sindh,Karachi,historical,93.4
1996-05,Sindh,Karachi,historical,107.5
1996-06,Sindh,Karachi,historical,77.2
1996-07,Sindh,Karachi,historical,70.5
1996-08,Sindh,Karachi,historical,51.0
1996-09,Sindh,Karachi,historical,40.0
1996-10,Sindh,Karachi,historical,42.5
1996-11,Sindh,Karachi,historical,43.2
1996-12,Sindh,Karachi,historical,56.4
1997-01,Sindh,Karachi,historical,51.3
1997-02,Sindh,Karachi,historical,96.2
1997-03,Sindh,Karachi,historical,88.7
1997-04,Sindh,Karachi,historical,107.0
1997-05,Sindh,Karachi,historical,82.2
1997-06,Sindh,Karachi,historical,82.9
1997-07,Sindh,Karachi,historical,92.4
1997-08,Sindh,Karachi,historical,48.1
1997-09,Sindh,Karachi,historical,33.8
1997-10,Sindh,Karachi,historical,37.7
1997-11,Sindh,Karachi,historical,49.1
1997-12,Sindh,Karachi,historical,60.3
1998-01,Sindh,Karachi,historical,77.8
1998-02,Sindh,Karachi,historical,78.6
1998-03,Sindh,Karachi,historical,77.6
1998-04,Sindh,Karachi,historical,90.1
1998-05,Sindh,Karachi,historical,99.7
1998-06,Sindh,Karachi,historical,84.2
1998-07,Sindh,Karachi,historical,52.5
1998-08,Sindh,Karachi,historical,54.6
1998-09,Sindh,Karachi,historical,56.3
1998-10,Sindh,Karachi,historical,58.5
1998-11,Sindh,Karachi,historical,49.8
1998-12,Sindh,Karachi,historical,57.3
1999-01,Sindh,Karachi,historical,58.1
1999-02,Sindh,Karachi,historical,74.0
1999-03,Sindh,Karachi,historical,90.4
1999-04,Sindh,Karachi,historical,97.4
1999-05,Sindh,Karachi,historical,94.5
1999-06,Sindh,Karachi,historical,76.9
1999-07,Sindh,Karachi,historical,58.8
1999-08,Sindh,Karachi,historical,48.8
1999-09,Sindh,Karachi,historical,36.4
1999-10,Sindh,Karachi,historical,47.0
1999-11,Sindh,Karachi,historical,27.4
1999-12,Sindh,Karachi,historical,52.3
2000-01,Sindh,Karachi,historical,71.2
2000-02,Sindh,Karachi,historical,92.5
2000-03,Sindh,Karachi,historical,90.6
2000-04,Sindh,Karachi,historical,101.3
2000-05,Sindh,Karachi,historical,86.9
2000-06,Sindh,Karachi,historical,74.8
2000-07,Sindh,Karachi,historical,62.5
2000-08,Sindh,Karachi,historical,66.7
2000-09,Sindh,Karachi,historical,53.2
2000-10,Sindh,Karachi,historical,45.8
2000-11,Sindh,Karachi,historical,71.4
2000-12,Sindh,Karachi,historical,54.6
2001-01,Sindh,Karachi,historical,72.6
2001-02,Sindh,Karachi,historical,83.0
2001-03,Sindh,Karachi,historical,88.3
2001-04,Sindh,Karachi,historical,111.5
2001-05,Sindh,Karachi,historical,101.8
2001-06,Sindh,Karachi,historical,69.7
2001-07,Sindh,Karachi,historical,64.6
2001-08,Sindh,Karachi,historical,58.2
2001-09,Sindh,Karachi,historical,51.5
2001-10,Sindh,Karachi,historical,31.5
2001-11,Sindh,Karachi,historical,27.9
2001-12,Sindh,Karachi,historical,40.0
2002-01,Sindh,Karachi,historical,67.2
2002-02,Sindh,Karachi,historical,79.8
2002-03,Sindh,Karachi,historical,92.7
2002-04,Sindh,Karachi,historical,87.5
2002-05,Sindh,Karachi,historical,80.5
2002-06,Sindh,Karachi,historical,64.9
2002-07,Sindh,Karachi,historical,70.3
2002-08,Sindh,Karachi,historical,57.7
2002-09,Sindh,Karachi,historical,53.2
2002-10,Sindh,Karachi,historical,48.1
2002-11,Sindh,Karachi,historical,43.9
2002-12,Sindh,Karachi,historical,65.4
2003-01,Sindh,Karachi,historical,66.7
2003-02,Sindh,Karachi,historical,75.5
2003-03,Sindh,Karachi,historical,86.0
2003-04,Sindh,Karachi,historical,88.9
2003-05,Sindh,Karachi,historical,73.2
2003-06,Sindh,Karachi,historical,81.8
2003-07,Sindh,Karachi,historical,69.7
2003-08,Sindh,Karachi,historical,52.0
2003-09,Sindh,Karachi,historical,39.9
2003-10,Sindh,Karachi,historical,44.9
2003-11,Sindh,Karachi,historical,58.8
2003-12,Sindh,Karachi,historical,55.2
2004-01,Sindh,Karachi,historical,63.8
2004-02,Sindh,Karachi,historical,76.0
2004-03,Sindh,Karachi,historical,89.5
2004-04,Sindh,Karachi,historical,83.6
2004-05,Sindh,Karachi,historical,89.1
2004-06,Sindh,Karachi,historical,81.1
2004-07,Sindh,Karachi,historical,82.1
2004-08,Sindh,Karachi,historical,62.2
2004-09,Sindh,Karachi,historical,53.5
2004-10,Sindh,Karachi,historical,36.4
2004-11,Sindh,Karachi,historical,50.6
2004-12,Sindh,Karachi,historical,46.0
2005-01,Sindh,Karachi,historical,70.2
2005-02,Sindh,Karachi,historical,83.9
2005-03,Sindh,Karachi,historical,84.1
2005-04,Sindh,Karachi,historical,109.0
2005-05,Sindh,Karachi,historical,94.4
2005-06,Sindh,Karachi,historical,65.8
2005-07,Sindh,Karachi,historical,72.0
2005-08,Sindh,Karachi,historical,51.7
2005-09,Sindh,Karachi,historical,45.4
2005-10,Sindh,Karachi,historical,45.6
2005-11,Sindh,Karachi,historical,48.5
2005-12,Sindh,Karachi,historical,39.0
2006-01,Sindh,Karachi,historical,58.7
2006-02,Sindh,Karachi,historical,86.6
2006-03,Sindh,Karachi,historical,100.2
2006-04,Sindh,Karachi,historical,108.3
2006-05,Sindh,Karachi,historical,104.1
2006-06,Sindh,Karachi,historical,64.6
2006-07,Sindh,Karachi,historical,73.7
2006-08,Sindh,Karachi,historical,39.9
2006-09,Sindh,Karachi,historical,58.0
2006-10,Sindh,Karachi,historical,44.0
2006-11,Sindh,Karachi,historical,36.5
2006-12,Sindh,Karachi,historical,70.5
2007-01,Sindh,Karachi,historical,72.7
2007-02,Sindh,Karachi,historical,65.9
2007-03,Sindh,Karachi,historical,92.3
2007-04,Sindh,Karachi,historical,87.8
2007-05,Sindh,Karachi,historical,90.9
2007-06,Sindh,Karachi,historical,77.0
2007-07,Sindh,Karachi,historical,78.4
2007-08,Sindh,Karachi,historical,43.8
2007-09,Sindh,Karachi,historical,47.9
2007-10,Sindh,Karachi,historical,56.1
2007-11,Sindh,Karachi,historical,39.0
2007-12,Sindh,Karachi,historical,56.5
2008-01,Sindh,Karachi,historical,69.3
2008-02,Sindh,Karachi,historical,75.2
2008-03,Sindh,Karachi,historical,95.1
2008-04,Sindh,Karachi,historical,94.2
2008-05,Sindh,Karachi,historical,82.7
2008-06,Sindh,Karachi,historical,94.3
2008-07,Sindh,Karachi,historical,73.9
2008-08,Sindh,Karachi,historical,53.6
2008-09,Sindh,Karachi,historical,40.5
2008-10,Sindh,Karachi,historical,35.9
2008-11,Sindh,Karachi,historical,55.0
2008-12,Sindh,Karachi,historical,53.7
2009-01,Sindh,Karachi,historical,71.3
2009-02,Sindh,Karachi,historical,79.2
2009-03,Sindh,Karachi,historical,94.8
2009-04,Sindh,Karachi,historical,92.6
2009-05,Sindh,Karachi,historical,96.0
2009-06,Sindh,Karachi,historical,79.2
2009-07,Sindh,Karachi,historical,74.2
2009-08,Sindh,Karachi,historical,60.1
2009-09,Sindh,Karachi,historical,44.5
2009-10,Sindh,Karachi,historical,35.3
2009-11,Sindh,Karachi,historical,38.1
2009-12,Sindh,Karachi,historical,49.1
2010-01,Sindh,Karachi,historical,60.1
2010-02,Sindh,Karachi,historical,87.3
2010-03,Sindh,Karachi,historical,89.7
2010-04,Sindh,Karachi,historical,105.7
2010-05,Sindh,Karachi,historical,107.8
2010-06,Sindh,Karachi,historical,80.8
2010-07,Sindh,Karachi,historical,55.7
2010-08,Sindh,Karachi,historical,51.9
2010-09,Sindh,Karachi,historical,44.8
2010-10,Sindh,Karachi,historical,30.4
2010-11,Sindh,Karachi,historical,43.5
2010-12,Sindh,Karachi,historical,57.1
2011-01,Sindh,Karachi,historical,64.2
2011-02,Sindh,Karachi,historical,74.6
2011-03,Sindh,Karachi,historical,84.1
2011-04,Sindh,Karachi,historical,107.4
2011-05,Sindh,Karachi,historical,88.8
2011-06,Sindh,Karachi,historical,74.1
2011-07,Sindh,Karachi,historical,64.8
2011-08,Sindh,Karachi,historical,62.3
2011-09,Sindh,Karachi,historical,40.1
2011-10,Sindh,Karachi,historical,45.7
2011-11,Sindh,Karachi,historical,51.1
2011-12,Sindh,Karachi,historical,60.7
2012-01,Sindh,Karachi,historical,78.6
2012-02,Sindh,Karachi,historical,76.3
2012-03,Sindh,Karachi,historical,98.8
2012-04,Sindh,Karachi,historical,87.3
2012-05,Sindh,Karachi,historical,86.9
2012-06,Sindh,Karachi,historical,89.9
2012-07,Sindh,Karachi,historical,74.1
2012-08,Sindh,Karachi,historical,54.9
2012-09,Sindh,Karachi,historical,36.2
2012-10,Sindh,Karachi,historical,46.4
2012-11,Sindh,Karachi,historical,40.5
2012-12,Sindh,Karachi,historical,47.7
2013-01,Sindh,Karachi,historical,62.7
2013-02,Sindh,Karachi,historical,82.5
2013-03,Sindh,Karachi,historical,73.5
2013-04,Sindh,Karachi,historical,96.3
2013-05,Sindh,Karachi,historical,91.4
2013-06,Sindh,Karachi,historical,76.1
2013-07,Sindh,Karachi,historical,75.8
2013-08,Sindh,Karachi,historical,59.6
2013-09,Sindh,Karachi,historical,40.7
2013-10,Sindh,Karachi,historical,36.8
2013-11,Sindh,Karachi,historical,50.8
2013-12,Sindh,Karachi,historical,43.0
2014-01,Sindh,Karachi,historical,65.1
2014-02,Sindh,Karachi,historical,75.7
2014-03,Sindh,Karachi,historical,90.6
2014-04,Sindh,Karachi,historical,95.1
2014-05,Sindh,Karachi,historical,90.3
2014-06,Sindh,Karachi,historical,89.4
2014-07,Sindh,Karachi,historical,69.5
2014-08,Sindh,Karachi,historical,52.4
2014-09,Sindh,Karachi,historical,36.0
2014-10,Sindh,Karachi,historical,47.6
2014-11,Sindh,Karachi,historical,49.5
2014-12,Sindh,Karachi,historical,66.1
2015-01,Sindh,Karachi,ssp245,61.4
2015-02,Sindh,Karachi,ssp245,80.9
2015-03,Sindh,Karachi,ssp245,89.7
2015-04,Sindh,Karachi,ssp245,93.0
2015-05,Sindh,Karachi,ssp245,90.4
2015-06,Sindh,Karachi,ssp245,66.6
2015-07,Sindh,Karachi,ssp245,75.2
2015-08,Sindh,Karachi,ssp245,60.9
2015-09,Sindh,Karachi,ssp245,55.6
2015-10,Sindh,Karachi,ssp245,61.7
2015-11,Sindh,Karachi,ssp245,43.5
2015-12,Sindh,Karachi,ssp245,55.4
2016-01,Sindh,Karachi,ssp245,68.8
2016-02,Sindh,Karachi,ssp245,98.0
2016-03,Sindh,Karachi,ssp245,76.6
2016-04,Sindh,Karachi,ssp245,98.8
2016-05,Sindh,Karachi,ssp245,78.9
2016-06,Sindh,Karachi,ssp245,60.2
2016-07,Sindh,Karachi,ssp245,52.1
2016-08,Sindh,Karachi,ssp245,44.7
2016-09,Sindh,Karachi,ssp245,56.0
2016-10,Sindh,Karachi,ssp245,36.3
2016-11,Sindh,Karachi,ssp245,45.3
2016-12,Sindh,Karachi,ssp245,46.9
2017-01,Sindh,Karachi,ssp245,74.8
2017-02,Sindh,Karachi,ssp245,73.3
2017-03,Sindh,Karachi,ssp245,103.2
2017-04,Sindh,Karachi,ssp245,87.3
2017-05,Sindh,Karachi,ssp245,85.8
2017-06,Sindh,Karachi,ssp245,84.0
2017-07,Sindh,Karachi,ssp245,70.3
2017-08,Sindh,Karachi,ssp245,69.3
2017-09,Sindh,Karachi,ssp245,49.0
2017-10,Sindh,Karachi,ssp245,34.4
2017-11,Sindh,Karachi,ssp245,43.4
2017-12,Sindh,Karachi,ssp245,52.8
2018-01,Sindh,Karachi,ssp245,76.7
2018-02,Sindh,Karachi,ssp245,86.8
2018-03,Sindh,Karachi,ssp245,92.1
2018-04,Sindh,Karachi,ssp245,103.9
2018-05,Sindh,Karachi,ssp245,88.8
2018-06,Sindh,Karachi,ssp245,82.7
2018-07,Sindh,Karachi,ssp245,72.6
2018-08,Sindh,Karachi,ssp245,71.2
2018-09,Sindh,Karachi,ssp245,48.1
2018-10,Sindh,Karachi,ssp245,42.6
2018-11,Sindh,Karachi,ssp245,40.3
2018-12,Sindh,Karachi,ssp245,64.4
2019-01,Sindh,Karachi,ssp245,66.6
2019-02,Sindh,Karachi,ssp245,87.4
2019-03,Sindh,Karachi,ssp245,78.0
2019-04,Sindh,Karachi,ssp245,106.3
2019-05,Sindh,Karachi,ssp245,83.0
2019-06,Sindh,Karachi,ssp245,78.3
2019-07,Sindh,Karachi,ssp245,81.0
2019-08,Sindh,Karachi,ssp245,48.0
2019-09,Sindh,Karachi,ssp245,49.2
2019-10,Sindh,Karachi,ssp245,47.2
2019-11,Sindh,Karachi,ssp245,41.7
2019-12,Sindh,Karachi,ssp245,70.9
2020-01,Sindh,Karachi,ssp245,85.2
2020-02,Sindh,Karachi,ssp245,68.9
2020-03,Sindh,Karachi,ssp245,82.8
2020-04,Sindh,Karachi,ssp245,105.3
2020-05,Sindh,Karachi,ssp245,84.2
2020-06,Sindh,Karachi,ssp245,82.5
2020-07,Sindh,Karachi,ssp245,74.1
2020-08,Sindh,Karachi,ssp245,66.0
2020-09,Sindh,Karachi,ssp245,49.0
2020-10,Sindh,Karachi,ssp245,48.3
2020-11,Sindh,Karachi,ssp245,44.5
2020-12,Sindh,Karachi,ssp245,71.4
2021-01,Sindh,Karachi,ssp245,69.3
2021-02,Sindh,Karachi,ssp245,89.3
2021-03,Sindh,Karachi,ssp245,91.6
2021-04,Sindh,Karachi,ssp245,100.4
2021-05,Sindh,Karachi,ssp245,94.7
2021-06,Sindh,Karachi,ssp245,85.4
2021-07,Sindh,Karachi,ssp245,65.4
2021-08,Sindh,Karachi,ssp245,67.9
2021-09,Sindh,Karachi,ssp245,63.7
2021-10,Sindh,Karachi,ssp245,50.5
2021-11,Sindh,Karachi,ssp245,58.2
2021-12,Sindh,Karachi,ssp245,68.6
2022-01,Sindh,Karachi,ssp245,82.3
2022-02,Sindh,Karachi,ssp245,90.0
2022-03,Sindh,Karachi,ssp245,98.7
2022-04,Sindh,Karachi,ssp245,107.7
2022-05,Sindh,Karachi,ssp245,97.6
2022-06,Sindh,Karachi,ssp245,79.5
2022-07,Sindh,Karachi,ssp245,75.1
2022-08,Sindh,Karachi,ssp245,46.2
2022-09,Sindh,Karachi,ssp245,52.7
2022-10,Sindh,Karachi,ssp245,52.9
2022-11,Sindh,Karachi,ssp245,63.4
2022-12,Sindh,Karachi,ssp245,63.7
2023-01,Sindh,Karachi,ssp245,83.2
2023-02,Sindh,Karachi,ssp245,88.4
2023-03,Sindh,Karachi,ssp245,89.2
2023-04,Sindh,Karachi,ssp245,89.5
2023-05,Sindh,Karachi,ssp245,89.9
2023-06,Sindh,Karachi,ssp245,77.2
2023-07,Sindh,Karachi,ssp245,81.2
2023-08,Sindh,Karachi,ssp245,61.3
2023-09,Sindh,Karachi,ssp245,58.6
2023-10,Sindh,Karachi,ssp245,51.0
2023-11,Sindh,Karachi,ssp245,62.7
2023-12,Sindh,Karachi,ssp245,72.3
2024-01,Sindh,Karachi,ssp245,70.9
2024-02,Sindh,Karachi,ssp245,87.0
2024-03,Sindh,Karachi,ssp245,94.3
2024-04,Sindh,Karachi,ssp245,88.7
2024-05,Sindh,Karachi,ssp245,104.7
2024-06,Sindh,Karachi,ssp245,99.7
2024-07,Sindh,Karachi,ssp245,76.8
2024-08,Sindh,Karachi,ssp245,59.9
2024-09,Sindh,Karachi,ssp245,63.9
2024-10,Sindh,Karachi,ssp245,31.6
2024-11,Sindh,Karachi,ssp245,56.4
2024-12,Sindh,Karachi,ssp245,65.6
2025-01,Sindh,Karachi,ssp245,72.5
2025-02,Sindh,Karachi,ssp245,102.0
2025-03,Sindh,Karachi,ssp245,108.0
2025-04,Sindh,Karachi,ssp245,101.1
2025-05,Sindh,Karachi,ssp245,99.2
2025-06,Sindh,Karachi,ssp245,87.3
2025-07,Sindh,Karachi,ssp245,73.5
2025-08,Sindh,Karachi,ssp245,54.0
2025-09,Sindh,Karachi,ssp245,67.3
2025-10,Sindh,Karachi,ssp245,61.0
2025-11,Sindh,Karachi,ssp245,62.6
2025-12,Sindh,Karachi,ssp245,56.1
2026-01,Sindh,Karachi,ssp245,95.8
2026-02,Sindh,Karachi,ssp245,107.9
2026-03,Sindh,Karachi,ssp245,102.3
2026-04,Sindh,Karachi,ssp245,96.7
2026-05,Sindh,Karachi,ssp245,93.6
2026-06,Sindh,Karachi,ssp245,95.1
2026-07,Sindh,Karachi,ssp245,71.1
2026-08,Sindh,Karachi,ssp245,65.7
2026-09,Sindh,Karachi,ssp245,65.8
2026-10,Sindh,Karachi,ssp245,40.6
2026-11,Sindh,Karachi,ssp245,73.7
2026-12,Sindh,Karachi,ssp245,79.5
2027-01,Sindh,Karachi,ssp245,68.8
2027-02,Sindh,Karachi,ssp245,80.3
2027-03,Sindh,Karachi,ssp245,99.3
2027-04,Sindh,Karachi,ssp245,96.6
2027-05,Sindh,Karachi,ssp245,99.6
2027-06,Sindh,Karachi,ssp245,70.8
2027-07,Sindh,Karachi,ssp245,77.8
2027-08,Sindh,Karachi,ssp245,82.1
2027-09,Sindh,Karachi,ssp245,48.2
2027-10,Sindh,Karachi,ssp245,51.9
2027-11,Sindh,Karachi,ssp245,45.2
2027-12,Sindh,Karachi,ssp245,72.6
2028-01,Sindh,Karachi,ssp245,78.3
2028-02,Sindh,Karachi,ssp245,109.5
2028-03,Sindh,Karachi,ssp245,104.4
2028-04,Sindh,Karachi,ssp245,103.1
2028-05,Sindh,Karachi,ssp245,107.5
2028-06,Sindh,Karachi,ssp245,89.2
2028-07,Sindh,Karachi,ssp245,69.4
2028-08,Sindh,Karachi,ssp245,70.4
2028-09,Sindh,Karachi,ssp245,57.1
2028-10,Sindh,Karachi,ssp245,56.6
2028-11,Sindh,Karachi,ssp245,61.9
2028-12,Sindh,Karachi,ssp245,63.9
2029-01,Sindh,Karachi,ssp245,84.7
2029-02,Sindh,Karachi,ssp245,108.8
2029-03,Sindh,Karachi,ssp245,94.3
2029-04,Sindh,Karachi,ssp245,121.8
2029-05,Sindh,Karachi,ssp245,101.7
2029-06,Sindh,Karachi,ssp245,88.0
2029-07,Sindh,Karachi,ssp245,102.1
2029-08,Sindh,Karachi,ssp245,70.2
2029-09,Sindh,Karachi,ssp245,71.1
2029-10,Sindh,Karachi,ssp245,63.0
2029-11,Sindh,Karachi,ssp245,45.5
2029-12,Sindh,Karachi,ssp245,70.2
2030-01,Sindh,Karachi,ssp245,77.7
2030-02,Sindh,Karachi,ssp245,83.8
2030-03,Sindh,Karachi,ssp245,89.7
2030-04,Sindh,Karachi,ssp245,109.0
2030-05,Sindh,Karachi,ssp245,109.7
2030-06,Sindh,Karachi,ssp245,98.7
2030-07,Sindh,Karachi,ssp245,80.0
2030-08,Sindh,Karachi,ssp245,63.1
2030-09,Sindh,Karachi,ssp245,52.2
2030-10,Sindh,Karachi,ssp245,52.4
2030-11,Sindh,Karachi,ssp245,51.9
2030-12,Sindh,Karachi,ssp245,68.4
2031-01,Sindh,Karachi,ssp245,82.9
2031-02,Sindh,Karachi,ssp245,88.5
2031-03,Sindh,Karachi,ssp245,103.6
2031-04,Sindh,Karachi,ssp245,102.7
